X,Y,ele
424649.927082316,4504195.80224871,929.53
424633.808159042,4504201.71651454,928.96
424617.809489281,4504208.30888553,929.01
424601.938235854,4504215.5885804,929.3
424586.390374673,4504223.32099455,929.22
424571.33514332,4504231.42995908,928.66
424556.376073327,4504239.93810528,929.35
424541.165939071,4504248.83034337,929.27
424525.724380092,4504257.94830955,928.87
424510.193142254,4504267.29984541,928.98
424494.562695039,4504276.64312032,928.42
424478.799035226,4504286.11805126,928.63
424462.754183119,4504295.80060344,928.73
424446.682269943,4504305.60443085,928.44
424430.545807784,4504315.32519987,928.86
424414.37406809,4504325.0556785,928.85
424398.300196913,4504334.65491867,928.42
424382.38756959,4504344.08506145,928.2
424366.438146597,4504353.3760214,927.75
424350.148130513,4504362.60536387,927.88
424333.210786382,4504371.56216473,927.31
424315.921683093,4504380.05732917,927.04
424298.173352317,4504387.97099102,927.18
424280.134442326,4504395.17113304,927.37
424261.621091853,4504401.68756442,928.25
424242.655774152,4504407.6410346,928.98
424223.663157585,4504412.99929257,928.11
424204.885097235,4504417.8622164,928.21
424186.239639451,4504422.52843332,928.61
424167.460295444,4504427.26119863,928.56
424148.668142757,4504432.12441035,928.3
424129.743911933,4504437.23097042,928.06
424110.717744214,4504442.75735552,928.23
424091.830267008,4504448.68250026,928.07
424073.146267354,4504455.10811009,928.26
424054.729494404,4504462.03350938,929.55
424036.700457691,4504469.46679995,929.69
424019.184825627,4504477.22986505,929.96
424002.074367569,4504485.12840746,929.51
423985.31979356,4504493.19083867,929.52
423968.503415016,4504501.4400507,929.36
423951.462146722,4504509.85910776,928.8
423934.188329201,4504518.39224828,928.33
423916.893879864,4504526.98147199,929.77
423899.59937456,4504535.56143438,930.05
423882.325301404,4504544.05747728,930.08
423865.126590022,4504552.30154561,930.07
423847.982099472,4504560.30315885,930.49
423830.900340485,4504568.20181126,930.89
423813.867150326,4504575.99764769,930.82
423796.662761469,4504583.67430559,930.78
423779.52714061,4504591.14558254,931.09
423762.432892526,4504598.50481398,930.81
423745.293994639,4504605.6505251,930.76
423728.343583225,4504612.52447968,931.21
423711.498189743,4504619.27643034,931.43
423694.384172139,4504626.07769681,930.96
423677.304554312,4504632.77629198,930.95
423660.436190843,4504639.35179082,931.43
423643.596562653,4504645.96425737,932.29
423626.559431961,4504652.65323149,932.79
423609.487101665,4504659.36122524,933.07
423592.301865767,4504666.10763391,933.9
423575.321767627,4504672.82406197,933.81
423558.710369559,4504679.57395798,933.72
423542.452551005,4504686.26440931,934.14
423526.548964769,4504692.96056296,934.13
423511.014180125,4504699.69946848,933
423495.346771791,4504706.62589441,933.19
423479.434390555,4504713.83403205,934.06
423463.565483389,4504721.13481127,933.79
423447.733082812,4504728.5376069,934.29
423431.767392219,4504736.06277624,934.74
423415.881174258,4504743.73605761,935.15
423400.058243693,4504751.36218243,936.1
423384.455291411,4504759.02330718,936.11
423368.978792947,4504766.58079127,936.85
423353.516783564,4504774.16607979,937.11
423338.04752387,4504781.73285858,937.07
423322.705685882,4504789.28906238,937.24
423307.687640364,4504796.64653013,937.04
423292.888119154,4504803.8994133,936.8
423277.679784563,4504811.34266084,936.92
423262.119756822,4504819.02221241,937.27
423246.516699574,4504826.64641157,936.85
423230.949951403,4504834.35400945,936.89
423215.269814381,4504842.05351023,937.42
423199.377824917,4504849.8110782,937.88
423183.246029374,4504857.66420594,939.2
423167.264254795,4504865.63678188,939.24
423151.545992926,4504873.7462591,939.72
423136.12073899,4504882.10398094,940.14
423120.777766915,4504890.87961979,940.39
423105.397148365,4504900.12095585,940.91
423089.986071725,4504909.83720715,941.37
423074.948130597,4504920.01490017,940.1
423060.049712843,4504930.6657569,940.54
423045.087844434,4504942.02450667,940.64
423030.463119819,4504953.78922562,940.35
423016.25996157,4504965.90321674,941.34
423002.450425039,4504978.40398058,940.43
422989.209241119,4504991.06636834,940.55
422976.485186418,4505003.73271936,940.92
422964.174262982,4505016.61814092,940.92
422951.938251424,4505029.89363327,941.51
422939.811228984,4505043.42856319,941.69
422927.826272148,4505056.99926368,941.43
422915.835051964,4505070.64449835,942.13
422903.659935805,4505084.31027,943.2
