X,Y,Z
478724.741,4435003.172,587.442
478723.73,4435002.927,587.445
478722.723,4435002.686,587.447
478721.715,4435002.439,587.442
478720.708,4435002.191,587.442
478719.692,4435001.947,587.442
478718.682,4435001.695,587.436
478717.68,4435001.445,587.435
478716.68,4435001.2,587.427
478715.673,4435000.953,587.429
478714.657,4435000.702,587.428
478713.651,4435000.447,587.426
478712.645,4435000.195,587.416
478711.634,4434999.943,587.411
478710.619,4434999.694,587.397
478709.609,4434999.449,587.383
478708.604,4434999.201,587.375
478707.598,4434998.957,587.367
478706.587,4434998.707,587.369
478705.573,4434998.457,587.356
478704.561,4434998.208,587.356
478703.546,4434997.971,587.346
478702.531,4434997.729,587.339
478701.512,4434997.495,587.335
478700.496,4434997.254,587.331
478699.48,4434997.005,587.33
478698.467,4434996.761,587.334
478697.451,4434996.51,587.334
478696.425,4434996.265,587.338
478695.398,4434996.022,587.323
478694.372,4434995.783,587.31
478693.356,4434995.548,587.297
478692.346,4434995.307,587.294
478691.328,4434995.065,587.303
478690.305,4434994.82,587.308
478689.277,4434994.569,587.308
478688.248,4434994.324,587.307
478687.225,4434994.085,587.302
478686.202,4434993.839,587.292
478685.176,4434993.602,587.296
478684.153,4434993.355,587.295
478683.123,4434993.109,587.29
478682.09,4434992.87,587.288
478681.064,4434992.621,587.273
478680.03,4434992.374,587.266
478678.998,4434992.135,587.251
478677.971,4434991.886,587.247
478676.944,4434991.632,587.249
478675.917,4434991.395,587.242
478674.881,4434991.139,587.236
478673.843,4434990.889,587.235
478672.803,4434990.643,587.218
478671.767,4434990.408,587.213
478670.735,4434990.158,587.205
478669.695,4434989.922,587.199
478668.655,4434989.68,587.2
478667.617,4434989.435,587.19
478666.581,4434989.194,587.186
478665.545,4434988.956,587.183
478664.498,4434988.712,587.181
478663.45,4434988.472,587.181
478662.413,4434988.232,587.168
478661.369,4434987.995,587.168
478660.322,4434987.757,587.162
478659.28,4434987.513,587.154
478658.24,4434987.271,587.148
478657.199,4434987.034,587.146
478656.154,4434986.793,587.145
478655.107,4434986.544,587.144
478654.064,4434986.294,587.142
478653.018,4434986.051,587.128
478651.973,4434985.814,587.125
478650.924,4434985.575,587.121
478649.892,4434985.341,587.117
478648.86,4434985.101,587.122
478647.819,4434984.861,587.13
478646.764,4434984.605,587.129
