y,x,z
4504282.926,431197.198,933.434
4504283.461,431195.1,933.41
4504283.993,431193,933.386
4504284.528,431190.905,933.355
4504285.065,431188.804,933.324
4504285.602,431186.702,933.292
4504286.139,431184.603,933.262
4504286.672,431182.506,933.233
4504287.201,431180.401,933.2
4504287.733,431178.298,933.159
4504288.267,431176.194,933.114
4504288.795,431174.085,933.077
4504289.326,431171.979,933.044
4504289.846,431169.872,933.012
4504290.361,431167.762,932.971
4504290.868,431165.646,932.933
4504291.375,431163.526,932.887
4504291.887,431161.412,932.84
4504292.392,431159.298,932.801
4504292.887,431157.176,932.759
4504293.384,431155.054,932.711
4504293.872,431152.931,932.665
4504294.348,431150.802,932.619
4504294.826,431148.674,932.572
4504295.297,431146.547,932.532
4504295.757,431144.41,932.489
4504296.213,431142.276,932.447
4504296.658,431140.14,932.407
4504297.098,431137.997,932.363
4504297.533,431135.851,932.309
4504297.96,431133.708,932.269
4504298.376,431131.557,932.221
4504298.788,431129.402,932.17
4504299.194,431127.25,932.108
4504299.593,431125.1,932.064
4504299.978,431122.941,932.022
4504300.351,431120.776,931.977
4504300.722,431118.619,931.917
4504301.091,431116.455,931.86
4504301.448,431114.282,931.822
4504301.795,431112.108,931.765
4504302.129,431109.939,931.706
4504302.456,431107.771,931.649
4504302.778,431105.596,931.585
4504303.097,431103.413,931.539
4504303.404,431101.23,931.488
4504303.689,431099.051,931.43
4504303.967,431096.869,931.366
4504304.236,431094.685,931.306
4504304.492,431092.483,931.247
4504304.737,431090.276,931.19
4504304.974,431088.077,931.125
4504305.196,431085.882,931.063
4504305.403,431083.677,931.012
4504305.607,431081.472,930.947
4504305.788,431079.264,930.878
4504305.965,431077.058,930.809
4504306.131,431074.844,930.748
4504194.084,429267.968,934.338
4504193.094,429266.165,934.389
4504192.098,429264.363,934.446
4504191.097,429262.564,934.504
4504190.098,429260.756,934.533
4504189.093,429258.953,934.561
4504188.092,429257.161,934.591
4504187.08,429255.361,934.637
4504186.063,429253.559,934.687
4504185.059,429251.755,934.682
4504184.056,429249.95,934.701
4504183.049,429248.148,934.713
4504182.04,429246.34,934.746
4504181.025,429244.537,934.77
4504180.006,429242.742,934.811
4504178.986,429240.941,934.844
4504177.968,429239.131,934.879
4504176.956,429237.321,934.895
4504175.945,429235.508,934.914
4504174.934,429233.701,934.939
4504173.915,429231.896,934.982
4504172.898,429230.09,935.021
4504171.877,429228.277,935.057
4504170.865,429226.463,935.091
4504169.855,429224.645,935.112
4504168.844,429222.83,935.141
4504167.835,429221.014,935.176
4504166.824,429219.199,935.205
4504165.823,429217.381,935.239
4504164.825,429215.55,935.264
4504163.822,429213.714,935.295
4504162.824,429211.889,935.33
4504161.831,429210.058,935.343
4504160.842,429208.217,935.36
4504159.859,429206.375,935.391
4504158.873,429204.535,935.42
4504157.888,429202.69,935.454
4504156.908,429200.845,935.479
4504155.936,429198.993,935.498
4504154.962,429197.134,935.525
4504153.989,429195.281,935.551
4504153.022,429193.428,935.561
4504152.058,429191.566,935.578
4504151.097,429189.7,935.591
4504150.139,429187.836,935.609
4504149.18,429185.982,935.644
4504148.225,429184.106,935.682
4504147.263,429182.231,935.721
4504146.313,429180.358,935.72
4504145.37,429178.477,935.722
4504144.432,429176.596,935.725
4504143.493,429174.713,935.753
4504142.554,429172.83,935.779
4504141.617,429170.948,935.804
4504140.692,429169.061,935.811
4504139.768,429167.165,935.829
4504138.845,429165.269,935.85
4504137.921,429163.378,935.864
4504137.011,429161.484,935.866
4504136.107,429159.581,935.876
4504135.205,429157.678,935.89
4504134.31,429155.781,935.906
4504133.416,429153.878,935.923
4504132.532,429151.968,935.931
4504131.649,429150.058,935.944
4504130.773,429148.153,935.945
4504129.909,429146.24,935.947
4504129.048,429144.327,935.962
4504128.188,429142.413,935.978
4504127.337,429140.5,935.987
4504126.498,429138.583,936.004
4504125.657,429136.658,936.008
4504124.823,429134.736,936.02
4504123.992,429132.825,936.023
4504123.171,429130.904,936.027
4504122.358,429128.977,936.031
4504121.542,429127.045,936.039
4504120.736,429125.121,936.036
4504119.937,429123.194,936.026
4504119.144,429121.264,936.026
4504118.35,429119.333,936.031
4504117.556,429117.407,936.045
4504116.764,429115.483,936.047
4504115.986,429113.558,936.048
4504115.205,429111.628,936.05
4504114.428,429109.697,936.059
4504113.65,429107.769,936.055
4504112.881,429105.841,936.045
4504112.112,429103.908,936.04
4504111.343,429101.977,936.035
4504110.579,429100.048,936.026
4504109.819,429098.122,936.023
4504109.06,429096.193,936.018
4504108.296,429094.268,936.012
4504107.538,429092.348,935.996
4504106.782,429090.427,935.988
4504106.031,429088.501,935.98
4504105.28,429086.573,935.976
4504104.531,429084.644,935.967
4504103.784,429082.722,935.954
4504103.04,429080.797,935.94
4504102.3,429078.873,935.921
4504101.56,429076.951,935.911
4504100.819,429075.031,935.896
4504100.077,429073.109,935.891
4504099.338,429071.189,935.875
4504098.603,429069.272,935.863
4504097.868,429067.354,935.859
4504097.131,429065.43,935.859
4504096.392,429063.509,935.845
4504095.661,429061.597,935.816
